id,title,facility_type,address,available_dates,last_updated,lights,hitting_wall,pickleball_lined,google_map_url,drive_time,ball_machine,canonical_addr
1345,Gilman Playfield Tennis Court 02,Tennis Court - Outdoor (Citywide),"Gilman Playfield 923 NW 54th ST Seattle, WA, 98107",2025-07-23  08:30:00-23:00:00,2025-07-22T23:59:31.671874-07:00,false,false,true,https://www.google.com/maps/search/?api=1&query=923+NW+54th+St%2C+Seattle%2C+WA+98107,10,true,gilmanplayfield923nw54thstseattlewa98107
1346,Hiawatha Playfield Tennis Court 01,Tennis Court - Outdoor (Citywide),"Hiawatha Playfield 2700 SW California AVE SW Seattle, WA, 98116","2025-07-23  08:30:00-15:00:00
2025-07-23  17:00:00-18:00:00
2025-07-23  19:00:00-23:00:00",2025-07-22T23:59:26.903787-07:00,true,false,false,https://www.google.com/maps/search/?api=1&query=2700+California+Ave+SW%2C+Seattle%2C+WA+98116,15,false,hiawathaplayfield2700swcaliforniaaveswseattlewa98116
1347,Hiawatha Playfield Tennis Court 02,Tennis Court - Outdoor (Citywide),"Hiawatha Playfield 2700 SW California AVE SW Seattle, WA, 98116","2025-07-23  08:30:00-15:00:00
2025-07-23  17:00:00-23:00:00",2025-07-22T23:59:08.829686-07:00,true,false,false,https://www.google.com/maps/search/?api=1&query=2700+California+Ave+SW%2C+Seattle%2C+WA+98116,15,false,hiawathaplayfield2700swcaliforniaaveswseattlewa98116
1348,Hiawatha Playfield Tennis Court 03,Tennis Court - Outdoor (Citywide),"Hiawatha Playfield 2700 SW California AVE SW Seattle, WA, 98116","2025-07-23  08:30:00-15:00:00
2025-07-23  17:00:00-23:00:00",2025-07-22T23:59:07.615271-07:00,true,false,false,https://www.google.com/maps/search/?api=1&query=2700+California+Ave+SW%2C+Seattle%2C+WA+98116,15,false,hiawathaplayfield2700swcaliforniaaveswseattlewa98116
1353,Laurelhurst Playfield Tennis Court 01,Tennis Court - Outdoor (Citywide),"Laurelhurst Playfield 4544 NE 41st ST Seattle, WA, 98105","2025-07-23  07:00:00-17:00:00
2025-07-23  18:30:00-19:00:00
2025-07-23  21:30:00-22:00:00",2025-07-22T23:58:59.152432-07:00,true,false,false,https://www.google.com/maps/search/?api=1&query=4544+NE+41st+St%2C+Seattle%2C+WA+98105,21,false,laurelhurstplayfield4544ne41ststseattlewa98105
1354,Laurelhurst Playfield Tennis Court 02,Tennis Court - Outdoor (Citywide),"Laurelhurst Playfield 4544 NE 41st ST Seattle, WA, 98105","2025-07-23  07:00:00-17:30:00
2025-07-23  21:00:00-22:00:00",2025-07-22T23:58:57.235584-07:00,true,false,false,https://www.google.com/maps/search/?api=1&query=4544+NE+41st+St%2C+Seattle%2C+WA+98105,21,false,laurelhurstplayfield4544ne41ststseattlewa98105
1355,Laurelhurst Playfield Tennis Court 03,Tennis Court - Outdoor (Citywide),"Laurelhurst Playfield 4544 NE 41st ST Seattle, WA, 98105","2025-07-23  07:00:00-09:00:00
2025-07-23  11:29:00-11:30:00
2025-07-23  14:00:00-17:30:00
2025-07-23  20:30:00-22:00:00",2025-07-22T23:58:54.976284-07:00,true,true,false,https://www.google.com/maps/search/?api=1&query=4544+NE+41st+St%2C+Seattle%2C+WA+98105,21,false,laurelhurstplayfield4544ne41ststseattlewa98105
1356,Laurelhurst Playfield Tennis Court 04,Tennis Court - Outdoor (Citywide),"Laurelhurst Playfield 4544 NE 41st ST Seattle, WA, 98105",2025-07-23  07:00:00-22:00:00,2025-07-22T23:58:36.157981-07:00,true,false,false,https://www.google.com/maps/search/?api=1&query=4544+NE+41st+St%2C+Seattle%2C+WA+98105,21,false,laurelhurstplayfield4544ne41ststseattlewa98105
1359,Madison Park Tennis Court 01,Tennis Court - Outdoor (Citywide),"Madison Park E Madison St & E Howe ST Seattle, WA, 98112","2025-07-23  04:00:00-09:00:00
2025-07-23  12:30:00-17:00:00
2025-07-23  21:00:00-23:30:00",2025-07-22T23:58:22.873339-07:00,true,false,false,https://www.google.com/maps/search/?api=1&query=1800+42nd+Ave+E%2C+Seattle%2C+WA+98112,22,false,madisonparkemadisonstehowestseattlewa98112
1360,Madison Park Tennis Court 02,Tennis Court - Outdoor (Citywide),"Madison Park E Madison St & E Howe ST Seattle, WA, 98112",2025-07-23  04:00:00-23:30:00,2025-07-22T23:58:20.723742-07:00,true,false,false,https://www.google.com/maps/search/?api=1&query=1800+42nd+Ave+E%2C+Seattle%2C+WA+98112,22,false,madisonparkemadisonstehowestseattlewa98112
1361,Magnolia Park Tennis Court 01,Tennis Court - Outdoor (Citywide),"Magnolia Park 1461 Magnolia BLVD W Seattle, WA, 98199",2025-07-23  04:00:00-23:30:00,2025-07-22T23:57:58.781923-07:00,false,false,false,https://www.google.com/maps/search/?api=1&query=461+Magnolia+Blvd+W%2C+Seattle%2C+WA+98199,10,true,magnoliapark1461magnoliablvdwseattlewa98199
1362,Magnolia Park Tennis Court 02,Tennis Court - Outdoor (Citywide),"Magnolia Park 1461 Magnolia BLVD W Seattle, WA, 98199","2025-07-23  04:00:00-16:30:00
2025-07-23  20:30:00-23:30:00",2025-07-22T23:57:56.846635-07:00,false,false,false,https://www.google.com/maps/search/?api=1&query=461+Magnolia+Blvd+W%2C+Seattle%2C+WA+98199,10,true,magnoliapark1461magnoliablvdwseattlewa98199
1363,Magnolia Playfield Tennis Court 01,Tennis Court - Outdoor (Citywide),"Magnolia Playfield 2518 W 34th W Seattle, WA, 98199","2025-07-23  08:30:00-10:00:00
2025-07-23  13:00:00-16:30:00
2025-07-23  20:00:00-23:00:00",2025-07-22T23:57:54.762220-07:00,false,false,true,https://www.google.com/maps/search/?api=1&query=2518+W+34th+St%2C+Seattle%2C+WA+98199,11,true,magnoliaplayfield2518w34thwseattlewa98199
1364,Magnolia Playfield Tennis Court 02,Tennis Court - Outdoor (Citywide),"Magnolia Playfield 2518 W 34th W Seattle, WA, 98199",2025-07-23  08:30:00-23:00:00,2025-07-22T23:57:52.529983-07:00,false,false,true,https://www.google.com/maps/search/?api=1&query=2518+W+34th+St%2C+Seattle%2C+WA+98199,11,true,magnoliaplayfield2518w34thwseattlewa98199
1365,Magnolia Playfield Tennis Court 03,Tennis Court - Outdoor (Citywide),"Magnolia Playfield 2518 W 34th W Seattle, WA, 98199","2025-07-23  08:30:00-09:00:00
2025-07-23  12:00:00-18:00:00
2025-07-23  21:00:00-23:00:00",2025-07-22T23:57:50.545267-07:00,false,false,true,https://www.google.com/maps/search/?api=1&query=2518+W+34th+St%2C+Seattle%2C+WA+98199,11,true,magnoliaplayfield2518w34thwseattlewa98199
1366,Magnolia Playfield Tennis Court 04,Tennis Court - Outdoor (Citywide),"Magnolia Playfield 2518 W 34th W Seattle, WA, 98199","2025-07-23  08:30:00-09:00:00
2025-07-23  12:00:00-17:00:00
2025-07-23  18:30:00-19:30:00
2025-07-23  20:30:00-23:00:00",2025-07-22T23:57:48.934230-07:00,false,false,true,https://www.google.com/maps/search/?api=1&query=2518+W+34th+St%2C+Seattle%2C+WA+98199,11,true,magnoliaplayfield2518w34thwseattlewa98199
1367,Meadowbrook Playfield Tennis Court 01,Tennis Court - Outdoor (Citywide),"Meadowbrook Playfield 10533 35th AVE NE Seattle, WA, 98125","2025-07-23  07:00:00-09:15:00
2025-07-23  12:15:00-17:30:00
2025-07-23  21:30:00-22:00:00",2025-07-22T23:57:47.005610-07:00,true,false,false,https://www.google.com/maps/search/?api=1&query=10533+35th+Ave+NE%2C+Seattle%2C+WA+98125,20,false,meadowbrookplayfield1053335thaveneseattlewa98125
1368,Meadowbrook Playfield Tennis Court 02,Tennis Court - Outdoor (Citywide),"Meadowbrook Playfield 10559 RAVENNA AVE NE SEATTLE, WA, 98125","2025-07-23  07:00:00-10:45:00
2025-07-23  12:15:00-17:45:00
2025-07-23  20:15:00-22:00:00",2025-07-22T23:57:29.152471-07:00,true,false,false,https://www.google.com/maps/search/?api=1&query=10533+35th+Ave+NE%2C+Seattle%2C+WA+98125,20,false,meadowbrookplayfield10559ravennaaveneseattlewa98125
1369,Meadowbrook Playfield Tennis Court 03,Tennis Court - Outdoor (Citywide),"Meadowbrook Playfield 10559 RAVENNA AVE NE SEATTLE, WA, 98125","2025-07-23  07:00:00-09:30:00
2025-07-23  11:00:00-17:45:00
2025-07-23  20:15:00-22:00:00",2025-07-22T23:57:26.935405-07:00,true,false,false,https://www.google.com/maps/search/?api=1&query=10533+35th+Ave+NE%2C+Seattle%2C+WA+98125,20,false,meadowbrookplayfield10559ravennaaveneseattlewa98125
1370,Meadowbrook Playfield Tennis Court 04,Tennis Court - Outdoor (Citywide),"Meadowbrook Playfield 10559 RAVENNA AVE NE SEATTLE, WA, 98125",2025-07-23  07:00:00-22:00:00,2025-07-22T23:57:25.314401-07:00,true,false,false,https://www.google.com/maps/search/?api=1&query=10533+35th+Ave+NE%2C+Seattle%2C+WA+98125,20,false,meadowbrookplayfield10559ravennaaveneseattlewa98125
1371,Meadowbrook Playfield Tennis Court 05,Tennis Court - Outdoor (Citywide),"Meadowbrook Playfield 10559 RAVENNA AVE NE SEATTLE, WA, 98125",2025-07-23  07:00:00-22:00:00,2025-07-22T23:57:23.602838-07:00,true,false,false,https://www.google.com/maps/search/?api=1&query=10533+35th+Ave+NE%2C+Seattle%2C+WA+98125,20,false,meadowbrookplayfield10559ravennaaveneseattlewa98125
1372,Meadowbrook Playfield Tennis Court 06,Tennis Court - Outdoor (Citywide),"Meadowbrook Playfield 10559 RAVENNA AVE NE SEATTLE, WA, 98125",2025-07-23  07:00:00-22:00:00,2025-07-22T23:57:22.324951-07:00,true,false,false,https://www.google.com/maps/search/?api=1&query=10533+35th+Ave+NE%2C+Seattle%2C+WA+98125,20,false,meadowbrookplayfield10559ravennaaveneseattlewa98125
1373,Miller Playfield Tennis Court 01,Tennis Court - Outdoor (Citywide),"Miller Playfield 300 19th AVE E Seattle, WA, 98112","2025-07-23  07:00:00-10:00:00
2025-07-23  12:00:00-22:00:00",2025-07-22T23:57:21.267877-07:00,true,false,true,https://www.google.com/maps/search/?api=1&query=300+19th+Ave+E%2C+Seattle%2C+WA+98112,18,false,millerplayfield30019thaveeseattlewa98112
1374,Miller Playfield Tennis Court 02,Tennis Court - Outdoor (Citywide),"Miller Playfield 300 19th AVE E Seattle, WA, 98112","2025-07-23  07:00:00-10:00:00
2025-07-23  12:00:00-16:30:00
2025-07-23  17:30:00-17:45:00",2025-07-22T23:57:19.365888-07:00,true,false,true,https://www.google.com/maps/search/?api=1&query=300+19th+Ave+E%2C+Seattle%2C+WA+98112,18,false,millerplayfield30019thaveeseattlewa98112
1375,Montlake Playfield Tennis Court 01,Tennis Court - Outdoor (Citywide),"Montlake Playfield 1618 E Calhoun ST Seattle, WA, 98112","2025-07-23  04:00:00-09:00:00
2025-07-23  12:00:00-23:30:00",2025-07-22T23:57:17.759761-07:00,false,false,false,https://www.google.com/maps/search/?api=1&query=1618+E+Calhoun+St%2C+Seattle%2C+WA+98112,15,false,montlakeplayfield1618ecalhounstseattlewa98112
1376,Montlake Playfield Tennis Court 02,Tennis Court - Outdoor (Citywide),"Montlake Playfield 1618 E Calhoun ST Seattle, WA, 98112","2025-07-23  04:00:00-09:00:00
2025-07-23  12:00:00-17:00:00
2025-07-23  21:00:00-23:30:00",2025-07-22T23:57:15.874702-07:00,false,false,false,https://www.google.com/maps/search/?api=1&query=1618+E+Calhoun+St%2C+Seattle%2C+WA+98112,15,false,montlakeplayfield1618ecalhounstseattlewa98112
1377,Mount Baker Park Tennis Court 01,Tennis Court - Outdoor (Citywide),"Mount Baker Park 2521 Lake Park DR S Seattle, WA, 98144",2025-07-23  06:00:00-22:00:00,2025-07-22T23:56:57.809210-07:00,true,false,true,https://www.google.com/maps/search/?api=1&query=2521+Lake+Park+Dr+S%2C+Seattle%2C+WA+98144,20,false,mountbakerpark2521lakeparkdrsseattlewa98144
1378,Mount Baker Park Tennis Court 02,Tennis Court - Outdoor (Citywide),"Mount Baker Park 2521 Lake Park DR S Seattle, WA, 98144","2025-07-23  06:00:00-07:00:00
2025-07-23  09:00:00-18:00:00
2025-07-23  20:00:00-22:00:00",2025-07-22T23:56:56.665131-07:00,true,false,true,https://www.google.com/maps/search/?api=1&query=2521+Lake+Park+Dr+S%2C+Seattle%2C+WA+98144,20,false,mountbakerpark2521lakeparkdrsseattlewa98144
1379,Rainier Beach Playfield Tennis Court 01,Tennis Court - Outdoor (Citywide),"Rainier Beach Playfield 8802 Rainier AVE S Seattle, WA, 98118","2025-07-23  08:30:00-18:00:00
2025-07-23  21:00:00-23:00:00",2025-07-22T23:56:51.850171-07:00,true,false,true,https://www.google.com/maps/search/?api=1&query=8802+Rainier+Ave+S%2C+Seattle%2C+WA+98118,24,false,rainierbeachplayfield8802rainieravesseattlewa98118
1380,Rainier Beach Playfield Tennis Court 02,Tennis Court - Outdoor (Citywide),"Rainier Beach Playfield 8802 Rainier AVE S Seattle, WA, 98118","2025-07-23  08:30:00-18:00:00
2025-07-23  21:00:00-23:00:00",2025-07-22T23:56:50.059441-07:00,true,false,true,https://www.google.com/maps/search/?api=1&query=8802+Rainier+Ave+S%2C+Seattle%2C+WA+98118,24,false,rainierbeachplayfield8802rainieravesseattlewa98118
1381,Rainier Beach Playfield Tennis Court 03,Tennis Court - Outdoor (Citywide),"Rainier Beach Playfield 8802 Rainier AVE S Seattle, WA, 98118","2025-07-23  08:30:00-18:00:00
2025-07-23  21:00:00-23:00:00",2025-07-22T23:56:47.822533-07:00,true,false,true,https://www.google.com/maps/search/?api=1&query=8802+Rainier+Ave+S%2C+Seattle%2C+WA+98118,24,false,rainierbeachplayfield8802rainieravesseattlewa98118
1382,Rainier Beach Playfield Tennis Court 04,Tennis Court - Outdoor (Citywide),"Rainier Beach Playfield 8802 Rainier AVE S Seattle, WA, 98118",2025-07-23  08:30:00-23:00:00,2025-07-22T23:56:46.582548-07:00,true,false,true,https://www.google.com/maps/search/?api=1&query=8802+Rainier+Ave+S%2C+Seattle%2C+WA+98118,24,false,rainierbeachplayfield8802rainieravesseattlewa98118
1383,Rainier Playfield Tennis Court 01,Tennis Court - Outdoor (Citywide),"Rainier Playfield 3700 S Alaska ST Seattle, WA, 98118","2025-07-23  07:00:00-19:30:00
2025-07-23  20:30:00-22:00:00",2025-07-22T23:56:45.077740-07:00,true,false,false,https://www.google.com/maps/search/?api=1&query=3700+S+Alaska+St%2C+Seattle%2C+WA+98118,21,false,rainierplayfield3700salaskastseattlewa98118
1384,Rainier Playfield Tennis Court 02,Tennis Court - Outdoor (Citywide),"Rainier Playfield 3700 S Alaska ST Seattle, WA, 98118",2025-07-23  07:00:00-22:00:00,2025-07-22T23:56:27.804194-07:00,true,false,false,https://www.google.com/maps/search/?api=1&query=3700+S+Alaska+St%2C+Seattle%2C+WA+98118,21,false,rainierplayfield3700salaskastseattlewa98118
1385,Rainier Playfield Tennis Court 03,Tennis Court - Outdoor (Citywide),"Rainier Playfield 3700 S Alaska ST Seattle, WA, 98118",2025-07-23  07:00:00-22:00:00,2025-07-22T23:56:25.947341-07:00,true,false,false,https://www.google.com/maps/search/?api=1&query=3700+S+Alaska+St%2C+Seattle%2C+WA+98118,21,false,rainierplayfield3700salaskastseattlewa98118
1386,Rainier Playfield Tennis Court 04,Tennis Court - Outdoor (Citywide),"Rainier Playfield 3700 S Alaska ST Seattle, WA, 98118",2025-07-23  07:00:00-22:00:00,2025-07-22T23:56:23.932277-07:00,true,false,false,https://www.google.com/maps/search/?api=1&query=3700+S+Alaska+St%2C+Seattle%2C+WA+98118,21,false,rainierplayfield3700salaskastseattlewa98118
1387,Riverview Playfield Tennis Court 01,Tennis Court - Outdoor (Citywide),"Riverview Playfield 7226 12th AVE SW Seattle, WA, 98106",,2025-07-22T23:55:20.892350-07:00,false,false,false,https://www.google.com/maps/search/?api=1&query=7226+12th+Ave+SW%2C+Seattle%2C+WA+98106,19,false,riverviewplayfield722612thaveswseattlewa98106
1388,Riverview Playfield Tennis Court 02,Tennis Court - Outdoor (Citywide),"Riverview Playfield 7226 12th AVE SW Seattle, WA, 98106",,2025-07-22T23:55:18.912464-07:00,false,false,false,https://www.google.com/maps/search/?api=1&query=7226+12th+Ave+SW%2C+Seattle%2C+WA+98106,19,false,riverviewplayfield722612thaveswseattlewa98106
1389,Rogers Playfield Tennis Court 01,Tennis Court - Outdoor (Citywide),"Rogers (Eastlake) Playfield Eastlake AVE E & E Roanoke ST Seattle, WA, 98112","2025-07-23  08:30:00-09:30:00
2025-07-23  11:00:00-17:00:00
2025-07-23  21:00:00-23:00:00",2025-07-22T23:55:16.833147-07:00,false,false,false,https://www.google.com/maps/search/?api=1&query=2568+Eastlake+Ave+E%2C+Seattle%2C+WA+98102,14,true,rogerseastlakeplayfieldeastlakeaveeeroanokestseattlewa98112
1390,Rogers Playfield Tennis Court 02,Tennis Court - Outdoor (Citywide),"Rogers (Eastlake) Playfield Eastlake AVE E & E Roanoke ST Seattle, WA, 98112",2025-07-23  08:30:00-23:00:00,2025-07-22T23:55:14.855669-07:00,false,false,false,https://www.google.com/maps/search/?api=1&query=2568+Eastlake+Ave+E%2C+Seattle%2C+WA+98102,14,true,rogerseastlakeplayfieldeastlakeaveeeroanokestseattlewa98112
1391,Sam Smith (I90 Lid) Park Tennis Court 01,Tennis Court - Outdoor (Citywide),"Sam Smith Park (I-90 Lid) 1400 Martin Luther King Jr WAY S Seattle, WA, 98144","2025-07-23  04:00:00-12:00:00
2025-07-23  13:00:00-16:00:00
2025-07-23  19:00:00-23:30:00",2025-07-22T23:55:12.673496-07:00,false,false,false,https://www.google.com/maps/search/?api=1&query=1400+Martin+Luther+King+Jr+Way+S%2C+Seattle%2C+WA+98144,17,false,samsmithparki90lid1400martinlutherkingjrwaysseattlewa98144
1392,Sam Smith (I90 Lid) Park Tennis Court 02,Tennis Court - Outdoor (Citywide),"Sam Smith Park (I-90 Lid) 1400 Martin Luther King Jr WAY S Seattle, WA, 98144",2025-07-23  04:00:00-23:30:00,2025-07-22T23:55:10.671930-07:00,false,false,false,https://www.google.com/maps/search/?api=1&query=1400+Martin+Luther+King+Jr+Way+S%2C+Seattle%2C+WA+98144,17,false,samsmithparki90lid1400martinlutherkingjrwaysseattlewa98144
1393,Solstice Park Tennis Court 01,Tennis Court - Outdoor (Citywide),"Solstice Park 7400 Fauntleroy WAY SW Seattle, WA, 98136","2025-07-23  07:00:00-09:00:00
2025-07-23  12:00:00-13:00:00
2025-07-23  16:00:00-22:00:00",2025-07-22T23:56:22.316273-07:00,true,false,false,https://www.google.com/maps/search/?api=1&query=7400+Fauntleroy+Way+SW%2C+Seattle%2C+WA+98136,20,false,solsticepark7400fauntleroywayswseattlewa98136
1394,Solstice Park Tennis Court 02,Tennis Court - Outdoor (Citywide),"Solstice Park 7400 Fauntleroy WAY SW Seattle, WA, 98136","2025-07-23  07:00:00-09:00:00
2025-07-23  12:00:00-13:00:00
2025-07-23  16:00:00-22:00:00",2025-07-22T23:56:20.657929-07:00,true,false,false,https://www.google.com/maps/search/?api=1&query=7400+Fauntleroy+Way+SW%2C+Seattle%2C+WA+98136,20,false,solsticepark7400fauntleroywayswseattlewa98136
1395,Solstice Park Tennis Court 03,Tennis Court - Outdoor (Citywide),"Solstice Park 7400 Fauntleroy WAY SW Seattle, WA, 98136",2025-07-23  07:00:00-22:00:00,2025-07-22T23:56:18.871791-07:00,true,false,false,https://www.google.com/maps/search/?api=1&query=7400+Fauntleroy+Way+SW%2C+Seattle%2C+WA+98136,20,false,solsticepark7400fauntleroywayswseattlewa98136
1396,Solstice Park Tennis Court 04,Tennis Court - Outdoor (Citywide),"Solstice Park 7400 Fauntleroy WAY SW Seattle, WA, 98136",2025-07-23  07:00:00-22:00:00,2025-07-22T23:56:16.774579-07:00,true,false,false,https://www.google.com/maps/search/?api=1&query=7400+Fauntleroy+Way+SW%2C+Seattle%2C+WA+98136,20,false,solsticepark7400fauntleroywayswseattlewa98136
1397,Solstice Park Tennis Court 05,Tennis Court - Outdoor (Citywide),"Solstice Park 7400 Fauntleroy WAY SW Seattle, WA, 98136",2025-07-23  07:00:00-22:00:00,2025-07-22T23:56:15.314098-07:00,true,false,false,https://www.google.com/maps/search/?api=1&query=7400+Fauntleroy+Way+SW%2C+Seattle%2C+WA+98136,20,false,solsticepark7400fauntleroywayswseattlewa98136
1398,Solstice Park Tennis Court 06,Tennis Court - Outdoor (Citywide),"Solstice Park 7400 Fauntleroy WAY SW Seattle, WA, 98136",2025-07-23  07:00:00-22:00:00,2025-07-22T23:56:13.129914-07:00,true,false,false,https://www.google.com/maps/search/?api=1&query=7400+Fauntleroy+Way+SW%2C+Seattle%2C+WA+98136,20,false,solsticepark7400fauntleroywayswseattlewa98136
1399,Soundview Playfield Tennis Court 01,Tennis Court - Outdoor (Citywide),"Soundview Playfield (Athletics) 1590 NW 90th ST Seattle, WA, 98117","2025-07-23  08:30:00-09:00:00
2025-07-23  11:00:00-16:00:00
2025-07-23  21:30:00-23:00:00",2025-07-22T23:55:56.027330-07:00,false,false,true,https://www.google.com/maps/search/?api=1&query=1590+NW+90th+St%2C+Seattle%2C+WA+98117,15,false,soundviewplayfieldathletics1590nw90thstseattlewa98117
1400,Soundview Playfield Tennis Court 02,Tennis Court - Outdoor (Citywide),"Soundview Playfield (Athletics) 1590 NW 90th ST Seattle, WA, 98117",2025-07-23  08:30:00-23:00:00,2025-07-22T23:55:53.875269-07:00,false,false,true,https://www.google.com/maps/search/?api=1&query=1590+NW+90th+St%2C+Seattle%2C+WA+98117,15,false,soundviewplayfieldathletics1590nw90thstseattlewa98117
1408,Wallingford Playfield Tennis Court 01,Tennis Court - Outdoor (Citywide),"Wallingford Playfield (Athletics) 4219 Wallingford AVE N Seattle, WA, 98103","2025-07-23  08:30:00-09:00:00
2025-07-23  11:00:00-17:00:00
2025-07-23  21:30:00-23:00:00",2025-07-22T23:55:44.287251-07:00,false,true,false,https://www.google.com/maps/search/?api=1&query=4219+Wallingford+Ave+N%2C+Seattle%2C+WA+98103,8,true,wallingfordplayfieldathletics4219wallingfordavenseattlewa98103
1409,Wallingford Playfield Tennis Court 02,Tennis Court - Outdoor (Citywide),"Wallingford Playfield (Athletics) 4219 Wallingford AVE N Seattle, WA, 98103",2025-07-23  08:30:00-23:00:00,2025-07-22T23:55:42.487486-07:00,false,true,false,https://www.google.com/maps/search/?api=1&query=4219+Wallingford+Ave+N%2C+Seattle%2C+WA+98103,8,true,wallingfordplayfieldathletics4219wallingfordavenseattlewa98103
1410,Walt Hundley Playfield Tennis Court 01,Tennis Court - Outdoor (Citywide),"Walt Hundley Playfield 6920 34th AVE SW Seattle, WA, 98126","2025-07-23  08:30:00-10:00:00
2025-07-23  12:00:00-17:45:00
2025-07-23  20:15:00-23:00:00",2025-07-22T23:55:40.594317-07:00,false,false,true,https://www.google.com/maps/search/?api=1&query=6920+34th+Ave+SW%2C+Seattle%2C+WA+98126,19,false,walthundleyplayfield692034thaveswseattlewa98126
1411,Walt Hundley Playfield Tennis Court 02,Tennis Court - Outdoor (Citywide),"Walt Hundley Playfield 6920 34th AVE SW Seattle, WA, 98126","2025-07-23  08:30:00-10:00:00
2025-07-23  12:00:00-17:45:00
2025-07-23  20:15:00-23:00:00",2025-07-22T23:55:22.768471-07:00,false,false,true,https://www.google.com/maps/search/?api=1&query=6920+34th+Ave+SW%2C+Seattle%2C+WA+98126,19,false,walthundleyplayfield692034thaveswseattlewa98126
2277,Jefferson Park Lid Tennis Court Lower 01,Tennis Court - Outdoor (Citywide),"Jefferson Park (previously Lid Playfield) 3901 Beacon AVE S Seattle, WA, 98108","2025-07-23  07:00:00-09:00:00
2025-07-23  12:00:00-17:45:00
2025-07-23  20:15:00-20:45:00",2025-07-22T23:59:06.031778-07:00,true,false,false,https://www.google.com/maps/search/?api=1&query=3901+Beacon+Ave+S%2C+Seattle%2C+WA+98108,16,false,jeffersonparkpreviouslylidplayfield3901beaconavesseattlewa98108
2278,Jefferson Park Lid Tennis Court Lower 02,Tennis Court - Outdoor (Citywide),"Jefferson Park (previously Lid Playfield) 3901 Beacon AVE S Seattle, WA, 98108","2025-07-23  07:00:00-09:00:00
2025-07-23  12:00:00-16:30:00
2025-07-23  20:15:00-20:45:00",2025-07-22T23:59:04.768500-07:00,true,false,false,https://www.google.com/maps/search/?api=1&query=3901+Beacon+Ave+S%2C+Seattle%2C+WA+98108,16,false,jeffersonparkpreviouslylidplayfield3901beaconavesseattlewa98108
2279,Madrona Playground Tennis Court 01,Tennis Court - Outdoor (Citywide),"Madrona Playground 3211 E Spring ST Seattle, WA, 98122",2025-07-23  06:00:00-22:00:00,2025-07-22T23:58:03.123049-07:00,true,false,false,https://www.google.com/maps/search/?api=1&query=3211+E+Spring+St%2C+Seattle%2C+WA+98122,23,false,madronaplayground3211espringstseattlewa98122
2280,Madrona Playground Tennis Court 02,Tennis Court - Outdoor (Citywide),"Madrona Playground 3211 E Spring ST Seattle, WA, 98122","2025-07-23  06:00:00-08:30:00
2025-07-23  10:00:00-18:00:00
2025-07-23  21:00:00-22:00:00",2025-07-22T23:58:00.887701-07:00,true,false,false,https://www.google.com/maps/search/?api=1&query=3211+E+Spring+St%2C+Seattle%2C+WA+98122,23,false,madronaplayground3211espringstseattlewa98122
2437,Seward Park Tennis Court 02,Tennis Court - Outdoor (Citywide),"Seward Park 5898 Lake Washington BLVD S Seattle, WA, 98118","2025-07-23  06:00:00-07:00:00
2025-07-23  08:00:00-17:30:00
2025-07-23  20:00:00-22:00:00",2025-07-22T23:55:06.665550-07:00,false,false,false,https://www.google.com/maps/search/?api=1&query=5898+Lake+Washington+Blvd+S%2C+Seattle%2C+WA+98118,26,false,sewardpark5898lakewashingtonblvdsseattlewa98118